model,mae,rmse,r2
Dummy,4.643098909024521,6.1421186668887255,-9.793415508152492e-05
ElasticNet(base),2.336730417108381,3.465371118798303,0.681649433053281
ElasticNet(tuned),1.8988688591785226,2.773650494906305,0.7960566284034882
Lasso,1.8962922455606317,2.7698904420814046,0.7966091984381455
Ridge,1.8955145154701833,2.76892225047614,0.7967513606317063
LightGBM,0.7657763159397324,1.195417367282363,0.9621169230077409
XGBoost,0.776091456413269,1.2546440164482269,0.9582701325416565
