model,mae,rmse,r2
Dummy,4.643098909024521,6.1421186668887255,-9.793415508152492e-05
ElasticNet(base),1.88452190157894,2.875523637402979,0.7808002732746163
ElasticNet(tuned),1.1437097696355418,1.8514037440801294,0.9091325376239014
Lasso,1.1450312066068074,1.8525460536566583,0.9090203732248208
Ridge,1.1458741343991499,1.853141312034366,0.9089618968531576
